date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:11:24	102/102	---MCZ	200	added ('OK')	text/plain	date:Mon,%2001%20Jul%202024%2010:41:25%20GMT	https://website16.odoo.com/robots.txt		(from )
16:11:25	44434/44434	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202024%2010:41:25%20GMT	https://website16.odoo.com/	C:/My%20Web%20Sites/sirisha/website16.odoo.com/index.html	(from )
16:11:25	3538/3538	---M--	200	added ('OK')	image/svg+xml	etag:%226672b7a0-dd2%22	https://website16.odoo.com/web/image/website/1/logo?unique=7732303	C:/My%20Web%20Sites/sirisha/website16.odoo.com/web/image/website/1/website83f7.svg	(from https://website16.odoo.com/)
16:11:25	3538/3538	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Jun%202024%2010:49:04%20GMT	https://website16.odoo.com/web/image/website/1/logo/300x300?unique=7732303	C:/My%20Web%20Sites/sirisha/website16.odoo.com/web/image/website/1/logo/website83f7.svg	(from https://website16.odoo.com/)
16:11:25	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%226672b7a0-47e%22	https://website16.odoo.com/web/image/website/1/favicon?unique=7732303	C:/My%20Web%20Sites/sirisha/website16.odoo.com/web/image/website/1/website83f7.ico	(from https://website16.odoo.com/)
16:11:25	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%226605497b-12d68%22	https://website16.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/sirisha/website16.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://website16.odoo.com/)
16:11:26	803761/803761	---MCZ	200	added ('OK')	text/css	etag:W/%22668283f7-c43b1%22	https://website16.odoo.com/web/assets/1/f545292/web.assets_frontend.min.css	C:/My%20Web%20Sites/sirisha/website16.odoo.com/web/assets/1/f545292/web.assets_frontend.min.css	(from https://website16.odoo.com/)
16:11:26	27430/27430	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668272cc-6b26%22	https://website16.odoo.com/web/assets/1/e9ccd4c/web.assets_frontend_minimal.min.js	C:/My%20Web%20Sites/sirisha/website16.odoo.com/web/assets/1/e9ccd4c/web.assets_frontend_minimal.min.js	(from https://website16.odoo.com/)
16:11:26	37556/37556	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202024%2010:41:27%20GMT	https://website16.odoo.com/contactus	C:/My%20Web%20Sites/sirisha/website16.odoo.com/contactus.html	(from https://website16.odoo.com/)
16:11:26	3538/3538	---M--	200	added ('OK')	image/svg+xml	etag:%226672b7a0-dd2%22	https://website16.odoo.com/web/image/website/1/logo/website?unique=7732303	C:/My%20Web%20Sites/sirisha/website16.odoo.com/web/image/website/1/logo/website83f7-2.svg	(from https://website16.odoo.com/)
16:11:27	27305/27305	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202024%2010:41:28%20GMT	https://website16.odoo.com/web/login	C:/My%20Web%20Sites/sirisha/website16.odoo.com/web/login.html	(from https://website16.odoo.com/)
16:11:27	30456/30456	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202024%2010:41:28%20GMT	https://website16.odoo.com/slides	C:/My%20Web%20Sites/sirisha/website16.odoo.com/slides.html	(from https://website16.odoo.com/)
